category/name/pt-BR,title/pt-BR,body/pt-BR
Meio Ambiente e Mudança do Clima,Incentivo fiscal para ONGs de proteção aos animais,"As ONGs de proteção aos animais realizam um trabalho de extrema importância para a saúde e segurança da população. Infelizmente as ONGs de proteção aos animais não são consideradas como utilidade pública no nosso País. No Brasil inteiro os abrigos estão superlotados, passando por dificuldades financeiras e sobrevivendo apenas das doações de simpatizantes da causa. A causa animal elege centenas de políticos em todo o País mas não é reconhecida e isso precisa mudar."
Secretaria Geral da Presidência da República,"Cooperativas como protagonistas de uma nova economia, como base estruturante para impulsionar o Brasil.","Fortalecer o papel do cooperativismo como parte da agenda estratégica do país, reconhecendo os diferenciais das sociedades cooperativas e seu alto impacto para o desenvolvimento de pessoas e comunidades. Com justiça social, adequado tratamento tributário ao ato cooperativo, legislações e políticas públicas de apoio e estímulo ao cooperativismo; espaços de representatividade e de participação; educação e formação profissional inclusiva, infraestrutura e logística adequada."
Desenvolvimento Agrário e Agricultura Familiar,"Cooperativismo como modelo económico do desenvolvimento sustentável, com proteção social e geração de renda por meio do empreendedorismo coletivo","Destacamos a importância das cooperativas, em especial, as de agricultura familiar e economia solidária para combater a fome, alcançar a segurança alimentar e nutricional, por meio da utilização de novas tecnologias com propósitos de criar produtos e serviços mais sustentáveis. Contribuir para diminuir as desigualdades social, apoiar atividades económicas de produção, comercialização, consumo e acesso ao crédito, tendo como característica principal a auto-gestão"
Desenvolvimento Agrário e Agricultura Familiar,Cooperativas em prol do desenvolvimento do campo e das cidades.,"Promover o desenvolvimento do cooperativismo, em especial, nas regiões Norte e Nordeste, utilizando-o como instrumento de desenvolvimento e inclusão económica e social, por meio da prestação de serviços de interesse público com dinamismo e eficiência, e possibilitar acesso aos serviços de saúde, energia, educação inclusiva e equitativa, mobilidade urbana, incentivo ao turismo e lazer, moradia própria e construção de unidades habitacionais"
,Criação do  Centro de Atenção psicossocial para os povos Indigenas ,"Tendo em vista, o crescimento de caso de Indigenas com dependência de álcool nas Terras Indigenas, e os trabalhos voltado a temática é mínimo."
,Viveiro de mudas de sementes nativas,"Nossa realidade pede socorro ao alimento saudável, então parti desta necessidade de apoiar o guardião de sementes, visto que as sementes nas lojas agropecuária estão um absurdo de preço, assim como demais produtos, então está na hora que o Estado apoie o pequeno agricultor seja Indigena ou nao, pois ele é responsável de difundir a ideia de trocas de sementes orgânica, por meio de feira ou outras iniciativas relacionado ao armazenamento agroecológico."
Educação,Educação Viva nas Comunidades,"A educação viva, vem com a nova metodologia de práticas curriculares com os aprendizados tácitos. atualmente, desempenhamos estas atividades com o Movimento Ambiental Trilha das Flores, em Salvador, Bahia. Prêmio da Unesco / Muriqui 2022. São atividades educadoras com a vivência comum. Traduzindo o pertencimento das pessoas, suas tradições e percepções de suas atividades, assim reorganizar as atividades curriculares, aprendidas em sala de aula, para as práticas in situ.Institutotrilhadasflores"
Meio Ambiente e Mudança do Clima,Adoção é a Solução! Para animais Errantes,"Estamos atuando, em Salvador-Bahia, e um dos gargalos é o abandono e maus-tratos de animais. Sabemos que alguns possuiam tutores irresponsáveis e não punidos. Fazer um Cadastro Local, apoiado pelo Governo Federal para o estímulo a adoção responsável, e campanhas educativas. O instituto trilha das Flores, há 3 anos atua in situ. Ganhamos recentemente o Premio Unesco Muriqui 2022. Praticar o CEA - Capturar, esterilizar, Adotar!Não abrigar, e nem devolver."
Meio Ambiente e Mudança do Clima,Economia Solidária APLs Comunitários,"Fomentar ações para pequenas comunidades criem seus APLs, de forma sustentável e de proteção ao meio ambiente. Ganhamos o PRemio Muriqui 2022, porque há 3 anos atuamos nessas comunidades. Conseguimos implantar um sistema de fomento, em que apoia mulheres empreendedoras e ajuda na causa animal, Este sistema funciona, e podemos implantar no Brasil inteiro."
Meio Ambiente e Mudança do Clima,Castração  e Vacinação gratuita contra  viroses para cães e gatos,"A Castração  é  a forma  ética de controlar a população de cães e gatos, reduzindo   o nascimento de um número enorme de filhotes  e seu  abandono.  Não há lares suficientes para abrigar todos!
A exemplo do que acontece com a vacinação anti rabica, aplicada anualmente,  de forma gratuita, deve haver facilidade de acesso à  vacina contra viroses. Devem ser contemplados todos os municípios brasileiros onde a Leishmaniose e outras doenças  se manifestem de maneira significativa."
,"Danos da pandemia Bozonário""","LULINHA, por favor, deixe nossas margem em 40% como era antes. A pandemia trouxe para todos muitos DANOS...para alguns UM DANO financeiro devastador.... Obrigado pelo aumento salarial de 9%(reposição) mas os bancos não querem mais negociar conosco....ficamos com as margens consigáveis NEGATIVAS. POr favor. SOCORROOOO. Obrigado"
Educação,Restaurante acessível no IFAC,"Que o aluno pague 1 real nas refeições oferecidas no Restaurante do IFAC (Instituto Federal do Acre), assim como acontece na UFAC (Universidade Federal do Acre) que através de subsídios com recursos do Plano Nacional de Assistência Estudantil (Pnaes) do Ministério da Educação, que apoia a permanência de estudantes de baixa renda matriculados em cursos de graduação presencial das instituições federais de ensino superior."
Mulheres,Políticas para as mulheres ,"Criação do fundo nacional para implementação para as políticas gênero relacionada às mulheres, atendendo a pluralidade e diversidade das realidades específicas que é sermos mulheres acreanas, amazônicas e brasileiras."
Mulheres,Fortalecimento do movimento de mulheres ,"Criação do FUNDO para o fortalecimento dos vários segmentos da sociedade civil organizada, com destaque para os movimentos das mulheres."
Mulheres,Política de gênero para as mulheres,"Criação de um FUNDO específico para elaboração e IMPLEMENTAÇÃO do Plano Nacional de enfrentamento as violências contra as mulheres, de combate ao racismo, ao feminicídio, lesbocídio e transfeminicídio,."
Transportes,Suporte a hidrovias e portos fluviais,"Dar suporte de infraestrutura ao modal fluvial, portuária da região acriana aproveitando de fato os recursos hídricos no transporte de insumos, produção agrícola familiar e da agro indústria florestal dos ribeirinhos, adjacentes e comunidade em geral do estado.  Essa é nossa segunda via principal de movimentação econômica e social do povo amazônico, onde ainda existe comunidades isoladas dependentes do modal fluvial. Ainda não existe essa infraestrutura adaptada e  modernizada tecnologicamente."
Planejamento e Orçamento,Fundo para Implementação do Hospital Universitário do Acre,"Garantir fundo para viabilizar a construção e implementação do Hospital Universitário da UFAC. Considerando a prevalência de doenças provenientes de fungos, bactérias e parasitas é de fundamental importância a instalação do Hospital Universitário para fortalecer o conhecimento e a pesquisa, assim melhor qualificar os acadêmicos que serão profissionais do futuro nas áreas da saúde, pesquisa, saúde coletiva e preventiva, trazendo promoção e qualidade de vida para o cidadão acreano."
Desenvolvimento Agrário e Agricultura Familiar,"Promover ações políticas e jurídicas para regularização fundiáaria de áreas rurais, nos estados da Amazônia Legal, com foco nas áreas de fronteira. ","Ministério do Desenvolvimento Regional 
Ministério da Agricultura 
Ação conjunta do Governo Federal através do INCRA, IBAMA, ICMBIO, SPU  e Institutos de Terras Estaduais, promover ações integradas de regularização fundiária nos Estados da Amazônia Legal, com ênfase para áreas já ocupadas na Floresta Amazônia, especificamente nas áreas de fronteira internacional.
O objetivo é regularizar áreas ocupadas, preservar meio ambiente, promover cidadania e fortalecer a produção agrícola de alimentos."
Direitos Humanos e Cidadania,Fortalecimento ao Consea,A ideia é fortalecer o Conselho de Estadual de Segurança Alimentar e Nutricional buscando diminuir o índice de fome no território acriano para garantir a criação de um fundo estadual de segurança alimentar e nutricional.
,Previdência social para quem tem fibromialgia ,"Previdência social para quem tem fibromialgia.
É uma doença de dor crônica e não tem cura, as pessoas sofrem com dor, insônia, fadiga, depressão, ansiedade, desânimo, irritação, e os remédios são muito caros. O governo era para ajudar estás pessoas."
Planejamento e Orçamento,Formação de profissionais Humanistas sobre a Insegurança Alimentar,"Propor a incorporar no processo de formação dos profissionais da área da saúde, educação, agricultura e áreas afins o tema do direto humano à Alimentação Adequada, soberania e segurança alimentar e nutricional, garantindo o alcance de práticas educativas a toda população acriana."
Gestão e Inovação em Serviços Públicos,Promover a Capacitação de Gestores Públicos sobre a SAN,"Promover processo de capacitação permanente para gestores públicos, profissionais das equipes técnicas, conselheiros e sociedade civil organizada, fóruns, entre outros sobre as políticas de Segurança Alimentar- SAN"
Agricultura e Pecuária,Agricultura e Tecnologia ,É preciso de mais investimento com tecnologia no campo a fim de fortalecer a produção de alimentos e contribuir com o desenvolvimento econômico social do nosso país.
Direitos Humanos e Cidadania,Complexo pericial-IML,"Construção de um prédio para atender o departamento de polícia técnica e científica, que inclui o Instituto de Criminalista, Instituto Médico Legal, Instituto Identificação e o Instituto de Análise Forense, o projeto visa melhorar a segurança orgânica, que trata da separação do atendimento de vítimas e agressores para locais distintos, bem como implementação da cadeia de custódia, que é o acondicionamento eficaz das provas materiais dos peritos. Esse prédio promoverá melhores condições."
Planejamento e Orçamento,Incentivo à Contratação para Serviços Básicos ,"Incentivar financeiramente os Municípios de pequeno porte que priorizam a contratação efetiva de profissionais para   Serviços Básicos como Assistência Social, Educação e Saúde como forma de ajudá-los cumprir a Lei de responsabilidade fiscal e ofertar Serviços de qualidade"
Transportes,Ampliação do Transporte Ferroviário no Brasil,"Ampliação da malha ferroviária em nosso país, visto a existência de enormes perdas de grãos em consequência do transporte por rodovias e a dependência da população, principalmente a mais carente, de deslocamentos por via aérea e veículos automotores."
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Fundo Amazônia na Proteção Social ,"Usar recursos do Fundo Amazônia para fortalecer as Equipes Volantes da Proteção Social na Amazônia, fazendo os Serviços chegar às populações mais isoladas."
,Energia Familiar Sustentável ,"O governo poderia subsidiar o preço na compra de placas solares por famílias consideradas de baixa renda e de classe média. Assim, teríamos muitas casas investindo em um tipo de energia limpa e com retorno para a própria família diminuindo consideravelmente a dependência de energia que contribuem para a poluição atmosférica que são pagas as concessionárias que fornecem esse produto."
Saúde,Construir o Hospital Universitário do Acre - vinculado à UFAC,"A UFAC é das poucas Universidades Públicas Federais que não dispõe de Hospital Universitário para formação, pesquisa e extensão universitárias - o que tem comprometido a formação acadêmica. Contribuirá também para ampliar e qualificar a assistência especializada ambulatorial e hospitalar reforçando a oferta de atenção especializada à saúde do Governo Estadual. Terá também a finalidade de fixar trabalhadores da saúde no Acre gerando emprego e renda e movimentando a economia loco-regional."
Educação,Atendimento Educacional Especializado,"Aporte de recursos financeiros para fortalecimento do Atendimento Educacional Especializado para educandos com deficiência e/ou transtornos do desenvolvimento, de modo a assegurar recursos de tecnologia assistiva e comunicação aumentativa e alternativa, além da processos formativos, atualização e especialização, de professores e profissionais da educação para a inclusão Educacional e social."
,Investimentos em Rodovias Federais ,"Boa parte do deslocamento da produção é via terrestre em nosso país. Assim, proponho que as rodovias que estão danificada, intrafegáveis e outros que há anos deveria ter sido construídas e até o presente momento isso não aconteceu passem a ter um olhar especial por parte do Governo Federal. Isso é fortalecer a economia brasileira."
Meio Ambiente e Mudança do Clima,Plantando Água ,"Criação de um programa de incentivo ao homem do campo, assim como as crianças nas escolas, voltado para a preservação das nossas nascentes, considerando que não existe produção sem água. E são essas pequenas nascentes que abastecem nossos igarapés e rios."
Direitos Humanos e Cidadania,Política de migração ,"Implementar uma política nacional de migração para o estado do Acre, considerando o fluxo na fronteira"
Saúde,Fonoaudiologia Assistencialismo para Autistas,"Inserir uma política pública para que a Fonoaudiologia possa intervir nas famílias, ensinando e orientando manobras facilitadoras para as famílias intervirem nas suas crianças e adultos."
Educação,Mestrado Profissional em Segurança Pública e Direitos Humanos,"Realização de mestrado profissional para os profissionais da área de segurança pública, justiça criminal e sistema prisional."
Direitos Humanos e Cidadania,Pesquisa de Vitimização na cidade de Rio Branco,Realização de pesquisas de vitimização anuais na cidade de Rio Branco.
Educação,Implantação do Hospital Universitário do Acre,"Construção do único Hospital Federal do Acre, implantar o Hospital Universitário  tem a finalidade de apoiar as ações de ensino, pesquisa e extensão e promover assistência das ciências das saúde e integrará o Sistema Único de Saúde."
Saúde,Neuropsicologia na primeira infância,"Possibilitar atendimento neuropsicológico no acompanhamento da primeira infância como medida preventiva para diagnóstico e tratamento precoce de transtornos, possibilitando melhor qualidade de vida aos neurodivergentes."
"Desenvolvimento, Indústria, Comércio e Serviços",Empreender para  combater a fome,Incentivar o empreendedorismo  feminino para que as mesma posso ter dignidade de colocar alimentos para seus filhos é através do empreendedorismo que podemos combater a fome e a violência doméstica gerando renda para as famílias em estado de vulnerabilidade social.
Agricultura e Pecuária,"Acesso a tecnologia agrícola para os ribeirinhos, quilombolas e indígenas.","A tecnologia agrícola, especialmente aquelas que são efetivadas pela EMBRAPA tem promovido o desenvolvimento e a consequente competitividade do setor agrícola, mas paga um preço alto, quando deixa de lado, ou não dá muita importância, aos produtores familiares que vivem, especialmente e na Amazônia Legal."
"Ciência, Tecnologia e Inovação",Programa nacional de revonacao da frota de veículos de transporte de passageiros ,"Programa destinado a motoristas de aplicativos, taxistas e cooperativa e empresas de transporte coletivo baseado na troca da frota de veículos a combustão por eletricos 
Em que a união entra com 80 porcento em forma de subsídio e 20 porcento são pagos pelo beneficiário dando o veículo antigo como parte do saldo devedor a pagar"
"Desenvolvimento, Indústria, Comércio e Serviços",Tributação Federal zero para cervejas sem álcool.,Aprovação do Projeto de Lei 967/22 que isenta o Imposto sobre Produtos Industrializados (IPI) às cervejas sem álcool. Alargando esta PL para isenção de PIS e COFONS na comercialização das cervejas sem álcool.
Justiça e Segurança Pública,Aumento de Efetivo da Segurança Pública ,"Que as polícias possam ter aumento de efetivo, adequando seu quadro de colaboradores para assegurar segurança para sociedade tanto nacionalmente,  quanto estaduais!"
Saúde,Saude Bucal da Pessoa c/ Deficiencia e Idosa,Pedimos ao Governo Federal priorizar a destinação de recursos para garantir verbas no orçamento para realização e ampliação dos serviços de Saúde Bucal nas AMA/UBS/AMAE para as nossas Pessoas Idosa e Pessoas com Deficiência total e mental em todas as subprefeituras da nossa cidade de São Paulo;
Saúde,Medicamentos Uso Continuo,"Pedimos ao Governo Federal priorizar a destinação de recursos para garantir verbas no Orçamento para o fornecimento de “MEDICAMENTOS DE USO CONTINUO”, bem como a colocação de novos medicamentos (Insumos, fraldas, etc), a nossa população, aos nossos idosos e Pessoas com Deficiência;"
Saúde,Meicamentos de Alto Custo,"Priorizar a destinação de recursos para no Orçamento para realização de ampliação a regionalização dos Postos de Distribuição de “MEDICAMENTOS DE ALTO CUSTO,” garantir a distribuição continua e regionalizada dos medicamentos e entrega domiciliar aos idosos e pessoas com deficiência;"
Saúde,Prontuario Eletronico,"Priorizar a destinação de recursos para garantir verbas no orçamento para realização urgentemente do Prontuario eletronico do Paciente emtodas as unidades da Saude.,"
"Desenvolvimento, Indústria, Comércio e Serviços","Criar Embraat , a EMBRAER  do Automóvel 100%  brasileiro","Fábricas multinacionais querem lucro e não desenvolver o país,  daí a necessidade de uma EMPRESA ESTATAL PARA PROJETAR , DESENVOLVER  e produzir carros 100% tecnologia brasileira, gerando  empregos, impostos e desenvolvimento nos mais variados estados brasileiros."
Transportes,Programa ferroviário brasileiro,"O país tem 50 fronteiras interestaduais, que seria uma estação, uma linha ligaria duas capitais. O governo faria estudo da rentabilidade de cada linha com vários pontos (km, PIB per capta dos estados envolvidos etc) e ranqueá-los. Após isso, abrir 25 licitações balanceadas em duplas de linhas (a 1ª e a última seriam licitadas juntas, e assim sucessivamente), A licitação envolveria a construção e exploração por tempo determinado. O programa teria impacto na redução do custo Brasil e mobilidade."
Meio Ambiente e Mudança do Clima,Controle Populacional de Animais Domésticos ,É fundamental estimular repasse orçamentária para esterilização gratuita de cães e gatos. A única política pública efetiva pela ética animal e pela lógica da saúde única
Transportes,CNH popular em Pernambuco ,Rever as inscrições gratuitas da CNH popular em Pernambuco . Para que as pessoas de baixa renda possa ser um condutor um dia.
Educação,"Escola pública em horário integral, o dia inteiro para  todos os alunos!","O Brasil precisa se tornar mais competitivo e desenvolvimentista, bem como diminuir a pobreza e a violência, o que só será possível com uma educação mais eficiente. Os governos precisam oferecer escolas públicas suficientes e em horário integral! Só assim , investindo mais em educação o Brasil e claro nos professores, cresceremos como nação e despontaremos no mundo. E isso ainda contemplaria o combate a fome pois os alunos se alimentariam na escola, almoço e lanche."
Direitos Humanos e Cidadania,"Proposta para o Plano Plurianual do Governo Federal para as Pessoas em Situação de Rua no Acre:  1. Moradia Primeiro: O programa ""Moradia Primeiro"" se","Criação de um abrigo para pessoas em situação de rua com uma equipe multidisciplinar, incluindo médico, enfermeira, apoio, assistente social, psicóloga e pedagoga, é uma iniciativa louvável. Essa abordagem abrangente visa atender às diversas necessidades dessas pessoas, proporcionando-lhes apoio médico, cuidados de enfermagem, assistência social, apoio psicológico e, quando necessário, suporte educacional."
,Estençao de Creches com Parceria de Igrejas ,"Dar recursos e suportes as Igrejas de qualquer denominação, que já tenham um corpo de atendimento educacional as crianças, com ajuda de custos aos estrutores, professores, condutores ou monitores locais que já se dispõe e se prestam a esse trabalho hoje voluntariamente sofrendo até fome por essa dedicação, qual vem ajudando em muito a sociedade brasileira, na prevenção dos ricos sociais. Assim ambem, resolvendo o problema de falta de vagas nas instituições públicas e privadas."
Trabalho e Emprego,Quebrando o Silêncio: Criação de uma NR setorial para o serivço publico e aplicação das demais NRs ,"Até hoje, as NRs são aplicadas amplamente a empregados regidos pela CLT. A ausência de uma NR para servidores públicos expõe-os a riscos graves, acidentes e doenças. A falta de profissionais especializados, programas e fiscalização agrava a situação. Implementar as NRs garante um ambiente seguro, reduz custos previdenciários e promove qualidade de vida. Investir nisso fortalece a imagem do governo e a sustentabilidade previdenciária. Não podemos negligenciar a segurança dos servidores públicos."
Transportes,"Autorização e fomento às Cooperativas de transportes urbanos, visando a melhoria do serviço público de transporte por ônibus urbanos e rodoviários ","Autorização e fomento à criação de cooperativas para o transporte público urbano de passageiros, para atuação concorrente com as empresas concessionárias de serviço público de transporte, visando melhorar o atendimento e aumentar a disponibilidade de veículos de transporte coletivo. O transporte público é prestado de forma deficitária. Os ônibus demoram e
 estão superlotados, já que as empresas de transporte não se preocupam em melhorar a qualidade do serviço, pois buscam apenas aumento do lucro"
Gestão e Inovação em Serviços Públicos,Unificação Auxílio alimentação entre os Poderes da União ,"Igualdade é direito fundamental. A unificação do auxílio alimentação dos servidores federais corrige a grande injustiça e disparidade entre os Poderes Legislativo, Judiciário e Executivo. A diferença do auxílio alimentação pago aos servidores chega a mais de 50% de um Poder sobre o outro. Isonomia já."
Comunicação Social,Comunicar com a sociedade de forma sucinta e bem humorada,"Desmentir as fakenews e comunicar as ações e as polêmicas envolvendo o governo com vídeos curtos, significativos e cheios de humor. Pedir ajuda aos estudantes dos cursos de comunicação das universidades federais, na forma de estágio ou extensão, especialmente nos cursos sob orientação do Felipe Nunes da UFMG e do Felipe Pena da UFF. 
Também, na mesma linha, encher as redes com a agenda positiva do governo, em comunicações curtas, objetivas e menos racionais (mais afetivas e divertidas)."
Educação,Método de Paulo Freire ,"Trabalhar nas escolas de ensino fundamental e na educação popular com as propostas de Paulo Freire, que também se assemelham com a experiência da Escola da Ponte, de Portugal. Chamar o professor José Pacheco para assessorar. 
Esse trabalho também deve estar vinculado aos programas sociais, para que todos os beneficiários sejam conscientizados de seu lugar no mundo e de que os benefícios recebidos são um projeto da esquerda. Frei Betto é expert nesse tema e deve ser chamado pra ajudar."
Educação,PIPE - Projeto Integrador Parque Escola,"Destinar recursos à política pública que integrem - Educação Ambiental da Rede Pública de Ensino (MEC) a programas permanentes de visitas as Unidades de Conservação (SNUC) mais próximas - propiciando práticas de Educação Ambiental, conhecimento científico e apreço das UCs aos docentes, crianças e jovens carentes da Rede Pública de Ensino Nacional, Estadual e Muncipal)
“As pessoas não apoiarão uma Unidade de Conservação a menos que tenham uma conexão consciente e emocional com ela...”"
Fazenda,Imposto sobre o Pib,Governo Federal deveria cobrar um imposto sobre a arrecadação total sobre o PIB dos Estados e Capitais e cidades com Pib maior que 500 mil pessoas. O valor deveria ser 1% e ser pago sempre no primeiro dia de cada ano. E governo Federal devolveria nos 12 meses seguintes.
,Saúde da pessoa idosa e do autista ,"Que o autista e as pessoas idosas tenha uma vida digna  . com mais políticas públicas voltadas para eles. Onde eles tenham seus direitos garantidos . Que tenha mais espaço de laser ,onde  possam ter mais dignidade"
Gestão e Inovação em Serviços Públicos,Diminuir Salário dos Políticos ,O salário não deveria ultrapassar 3 salários mínimos!
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Instituições de Longa Permanência de Idosos 100% pública,"Com o aumento da expectativa de vida e a diminuição das taxas de natalidade teremos um avanço exponencial do número de idosos no país. Tendo em vista que muitos deles não terão o apoio familiar nem recursos financeiros suficientes para sua institucionalização caso ocorra a necessidade, a proposta seria de criar mecanismos para que sejam implantadas em todos os municípios  instituições 100% púbicas  que acolham todos que assim necessitarem. Que façam parte do orçamento municipal seu custeio."
Direitos Humanos e Cidadania,Classe D: a vez da inclusão,"Quando analistas tentam entender o avanço do bolsonarismo nas classes D e C, alguns chutam extremismo religioso; outros, desinformação. Minha teoria: políticas públicas fantásticas desenvolvidas nos governos PT que atendem a classe E. 
As classes D e C, massacradas por impostos = aos cobrados nas classes A e B, perdem poder aquisitivo, veem o padrão de vida despencar, sem retorno dos impostos.
Proposta: inclusão, ao menos, da classe D desta vez. Nem q seja p/antena de tv. Tá difícil aki embaixo!"
Educação,Transporte e residência estudantil ,"Os Institutos Federais ofertam cursos técnicos integrados ao Ensino Médio, ou seja, conforme a LDB, esta etapa está no nível da Educação Básica, no entanto, eles não têm acesso ao transporte o que é muito importante, pois muitos alunos moram nos municípios vizinhos e não conseguem pagar o transporte para os seus IFs. Outra questão, temos vários alunos que vêm de municípios e de Estados vizinhos e precisam de residência, esta política promoverá a permanência e o êxito dos nossos estudantes"
Educação,Centro Nacional de Referência para Altas Habilidades,"Segundo estudos, cerca de 7% da população possui indicadores de Altas Habilidades (AH), mas o assunto AH carece de divulgação e moires pesquisas no Brasil. O Centro de Referência teria como objetivo fomentar a pesquisa e a inclusão das pessoas com indicadores de AH."
Educação,Educação para superar e combater o Racismo Religioso ,"Garantir a criação do curso de graduação em Ciência da Religião nas universidades públicas (Resolução nº 05 CNE/CP/2018) a fim de habilitar o Professor de Ensino Religioso que ajude os educandos a compreenderem a importância de combater o racismo religioso na sociedade brasileira. Pois, o conteúdo de Ensino Religioso deverá perpassar pelas Leis: 10.639/03 e Lei 11.645/08 que torna obrigatório em todo o currículo escolar o ensino de história e cultura afrobrasileira, africana e  indígenas."
Meio Ambiente e Mudança do Clima,Médico Veterinário ,"Aumento do piso salarial para médicos veterinário, da vigilância sanitária municipais, assim como para vínculo empregatício em departamentos estaduais."
Fazenda,Equipara o salário mínimo a mil dólares. 5 mil reais ,"O grade gargalo  para se ter um salário mínimo que atenda as necessidades básicas de uma família com alimentação saúde e laser é o risco da disparada da inflação. 
Para eliminar esse risco, o governo deve chamar todos os grandes fabricantes e varejistas do país e fazer um pacto para que possam investir em produtividade, extrutura, para quando o salário for equiparado a mil dólares em duas etapas, estes empresários tenham oferta suficiente pra atender a demanda sem inflação"
,Fator Amazônico,"Que levado em consideração a distribuição dos recursos de forma diferenciada para o norte e nordeste, respeitando as diferenças regionais e suas espeficidades."
Justiça e Segurança Pública,Programa preventivo de combate à corrupção. ,"Elabora um mega programa de informática com um supercomputador a fim de monitorar em tempo real todas licitações de estados, municípios e da União, comparando preços  para evitar superfaturamento, comandados por membros da CGU, TCU, PF e MP e assim poder barar qualquer suspeita de desvios antes que aconteça.
Pra evitar que servidores destes órgãos possa eventualmente  se corromper faz-se um rodízio de ano em ano."
Educação,"Criação do Instituto Federal de Educação, Ciência e Tecnologia do Alto Paranaíba e Noroeste de Minas","Criação do Instituto Federal de Educação, Ciência e Tecnologia do Alto Paranaíba e Noroeste de Minas com Campi nas Cidades de Buritis, Arinos, Unaí, Brasilândia de Minas, João Pinheiro, Paracatu, Vazante, Patos de MInas, Carmo do Paranaíba, São Gotardo, Ibiá, Patrocínio e Coromandel."
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Pontos Populares de Alimentação (Pontos Populares de Soberania e Segurança Alimentar e Nutricional) ,"gid://decide/Decidim::Hashtag/1/propostacoletiva Implementação da Estratégia dos Pontos Populares como uma política pública que reconhece e retire da informalidade as cozinhas populares coletivas e demais iniciativas de solidariedade no combate à fome e à sede tais como: hortas, Unidades Territoriais Tradicionais (casa de terreiros), iniciativas de mulheres mãe solo, população negra, população de rua, atingidos por barragens, ciganos, indígenas, quilombolas e outros. A proposta já foi entregue ao Governo Federal."
Cidades,Saneamento para todos,Estimular e financiar a construção de redes coletores e estações de tratamento de esgoto em todas as cidades do país.
Cidades,Programa Ciclovia,"Fortalecer as ações municipais para a ampliação de ciclovias e fortalecimento do uso de bicicletas como meio de transporte . O uso de bicicletas como meio de transporte nas cidades está relacionado a vários temas, como saúde, transporte, meio ambiente, mudança do clima, entre outros. Garantir qualidade e segurança aos ciclistas é fundamental no uso diário desse meio de transporte."
Direitos Humanos e Cidadania,Conselhos da juventude,"Criar uma estrutura nos moldes dos conselhos nacionais, que seja ligada aos estudantes através dos Grêmios estudantis, para estimular a participação política dos jovens e promover a escuta de seus anseios."
Saúde,"Esporte, saúde e Lazer (50+) ","Criar unidades onde a população 50+ possa ter uma equipe multidisciplinar atendendo, sobre questão de exercícios, esportes e saúde mental. 
Onde tenham profissionais: Profissional de Educação Física, Fisioterapeuta e Psicólogos. Atuando em atividades conjuntas para proporcionar mais qualidade de vida a essa população. 
Com um envelhecer saudável, diminuímos a dependência dessa população, tornando Seres Humanos mais autônomos."
Justiça e Segurança Pública,Retirando crianças e jovens infratores do mundo do crime ,"Recolher crianças e adolescentes infratores no máximo na terceira vez que cometer uma infração,  Ampliando as instalações suficientemente para atender a demandada com estruturas  de qualidade, que os ofereça psicólogos, escolas com ensino atrativo de qualidade, cursos técnicos e atendimento humanizado capaz de transforma-los em homes e mulheres honrados e jamas valtar ao mundo do crime"
Saúde,Projeto Saúde e Vida,"Criação de espaços aonde se tenha Biodança, Yôga, Taí chi Chuan, aula de dança de salão musculação ou funcional e terapias tipo Psicólogos, Psicanálise . Essas atividades seriam para a prevenção de problemas de saúde ou tratar de algum problema de ordem física e /ou emocional"
"Desenvolvimento e Assistência Social, Família e Combate à Fome",Projeto Coma Bem,Incentivo as Prefeituras a criação de hortas comunitárias em terrenos desocupados boa centros urbanos a serem geridos por associação de moradores
Cultura,Projeto Cultura Viva,"Difusão de centros culturais do Banco do Brasil, Caixa e todas as capitais e algumas cidades do interior assim como o Centro Cultural Banco do Nordeste em todas as capitais aonde o banco atua e algumas cidades do interior e a criação do Centro Cultural do Banco Central"
Transportes,Fortalecimento da Regulação nos Estados,"Governo Federal apoiar e incentivar as agências de regulação estaduais, a fim  de que as mesmas possam desempenhar suas atividades com vistas ao desenvolvimento da infraestrutura dos estados e municípios. Pois as agências federais possuem toda a capacidade técnica e experiência para apoiar os estados. Principalmente no que diz respeito à divulgação da importância da regulação para o país."
"Ciência, Tecnologia e Inovação",Fortalecer a Pesquisa da Biodiversidade na Amazônia,"É de notório saber que a Amazônia hospeda uma das maiores biodiversidades do planeta. A pesquisa científica pode identificar espécies e/ou bioativos que possam, no futuro, produzir inovações que, de forma sustentável e respeitando o meio-ambiente, promovam o desenvolvimento regional."
Integração e Desenvolvimento Regional,Plano de integração nacional por Ferrovias,"O Brasil precisa de uma malha ferroviária que chegue a todos os estados com redução de custos no transporte de mercadorias e de pessoas tornando possível o desenvolvimento dos estados afastados do litoral e os estados onde o transporte rodoviário torna o custo de vida mais alto, tais como Rondonia e Acre.

Propõe-se a elaboração e implementação de um plano de construção de ferrovias com metas anuais e prazo de implementação total em 10 anos."
